symbol,Beta
IPGP,1.1469
ASB,1.2573
CBI,1.6549
HTZ,1.912
X,1.9181
SFM,0.7301
LSTR,0.7618
CAR,1.7651
YELP,1.64
JCP,0.8177
TRCO,1.1037
GME,0.9403
ROL,0.8267
EQY,0.7156
AHL,0.8164
EAT,0.7631
MFA,0.5489
CXP,0.659
FII,1.2789
AL,1.4994
CAB,0.8122
DLB,0.7314
PRA,0.5406
CABO,0.464
CPA,1.1474
ICPT,1.6359
BFA,0.8437
BDN,0.8087
OII,1.2478
SPN,1.797
TEX,1.5782
OFC,0.705
MUSA,0.7961
RBC,1.0896
STRZA,1.0718
FLO,0.8075
TDS,1.0582
WCC,1.1956
LPLA,1.1639
CREE,1.1956
ESV,1.5261
ESRT,0.6759
CLH,1.0086
CAA,1.0462
CMP,0.7739
ERIE,0.6459
LXK,1.2077
TKR,1.2521
MDRX,1.0543
VC,1.1587
VSTO,1.0898
CCP,0.7716
LPNT,0.8843
NSAM,1.3099
AFSI,0.8
NRF,1.1599
BRKR,1.1136
AGR,-0.4387
HEIA,0.9128
UFS,1.0514
AKRX,1.4324
IGT,0.9784
JWA,0.9465
TCB,1.2537
WEN,0.8571
MIK,0.953
USG,1.1512
FEYE,1.723
IBKR,1.2146
PBF,1.4283
SCCO,1.2027
VWR,0.7951
KATE,1.4143
KBR,1.3395
ZNGA,0.8565
DRQ,1.1641
GHC,0.7191
MFS,0.3083
SLGN,0.8
WLK,1.6353
SATS,0.9516
UHAL,0.9302
AWI,1.0729
RDC,1.2614
GRPN,1.4865
JUNO,1.5173
FIT,1.9618
LGF,1.2153
LPI,1.8433
PAG,1.4118
TRU,0.9132
THC,1.3525
LBRDA,0.8187
CVA,0.738
WLL,2.5877
ZG,0.6639
BOKF,1.116
RGC,0.652
NWS,1.1512
PAY,1.3752
CACC,0.9288
OMF,2.2699
CXW,0.7577
GDDY,0.8526
XON,1.7915
NE,1.5495
AGIO,1.9581
CHH,0.9668
MCY,0.7177
PINC,0.6917
MORN,0.732
BUFF,0.7399
HEI,0.9625
PAH,1.6983
SC,0.9924
SCTY,1.53
PPC,1.0024
DDS,0.8536
H,1.1134
DO,1.1627
COTY,0.8179
STAY,1.1903
USFD,0.2417
APAM,1.2796
TFSL,0.68
KOS,1.3031
RES,1.4679
BKFS,0.6823
CNA,0.9354
ANAT,0.7773
INOV,1.1709
HRI,2.9122
TEAM,1.0963
SQ,0.9716
MTCH,0.867
SPWR,2.0592
USM,0.8577
FI,1.0058
CHUBK,2.4783
VIA,1.1262
LENB,1.209
CCO,1.2466
CHUBA,2.2267
